Model Name,C3S Name,long_name,standard_name,units,modeling_realm,level,Arithmetic expr,coordinates,cell_method,ref lev,model,fillval
sossheig,zos,Sea Surface Height Above Geoid,sea_surface_height_above_geoid,m,ocean,ocean2d,0,reftime realization time leadtime lat lon,leadtime: mean (interval: 1 day),0.,nemo,1.e+20
sosaline,sos,Sea Surface Salinity,sea_water_practical_salinity,1,ocean,ocean2d,0,reftime realization time leadtime lat lon,leadtime: mean (interval: 1 day),0.,nemo,1.e+20
somss300,sot300,Depth Average Salinity of Upper 300m,sea_water_practical_salinity,1,ocean,ocean2d,0,reftime realization time leadtime depth lat lon,depth: mean leadtime: mean (interval: 1 day),300.,nemo,1.e+20
somtt300,thetaot300,Depth Average Potential Temperature of Upper 300m,sea_water_potential_temperature,K,ocean,ocean2d,273.16,reftime realization time leadtime depth lat lon,depth: mean leadtime: mean (interval: 1 day),300.,nemo,1.e+20
so14chgt,t14d,Depth of 14 degree Celsius Isotherm,depth_of_isosurface_of_sea_water_potential_temperature,m,ocean,ocean2d,0,reftime realization time leadtime temperature lat lon,leadtime: mean (interval: 1 day),14.,nemo,1.e+20
so17chgt,t17d,Depth of 17 degree Celsius Isotherm,depth_of_isosurface_of_sea_water_potential_temperature,m,ocean,ocean2d,0,reftime realization time leadtime temperature lat lon,leadtime: mean (interval: 1 day),17.,nemo,1.e+20
so20chgt,t20d,Depth of 20 degree Celsius Isotherm,depth_of_isosurface_of_sea_water_potential_temperature,m,ocean,ocean2d,0,reftime realization time leadtime temperature lat lon,leadtime: mean (interval: 1 day),20.,nemo,1.e+20
so26chgt,t26d,Depth of 26 degree Celsius Isotherm,depth_of_isosurface_of_sea_water_potential_temperature,m,ocean,ocean2d,0,reftime realization time leadtime temperature lat lon,leadtime: mean (interval: 1 day),26.,nemo,1.e+20
so28chgt,t28d,Depth of 28 degree Celsius Isotherm,depth_of_isosurface_of_sea_water_potential_temperature,m,ocean,ocean2d,0,reftime realization time leadtime temperature lat lon,leadtime: mean (interval: 1 day),28.,nemo,1.e+20
somxl001,mlotstheta001,Ocean Mixed Layer Thickness Defined by Sigma Theta 0.01 kg/m3,ocean_mixed_layer_thickness_defined_by_sigma_theta,m,ocean,ocean2d,0,reftime realization time leadtime sigma_theta lat lon,leadtime: mean (interval: 1 day),0.01,nemo,1.e+20
somxl003,mlotstheta003,Ocean Mixed Layer Thickness Defined by Sigma Theta 0.03 kg/m3,ocean_mixed_layer_thickness_defined_by_sigma_theta,m,ocean,ocean2d,0,reftime realization time leadtime sigma_theta lat lon,leadtime: mean (interval: 1 day),0.03,nemo,1.e+20
hi,sithick,Sea Ice Thickness,sea_ice_thickness,m,ocean,ocean2d,0,reftime realization time leadtime lat lon,leadtime: mean (interval: 1 day),0.,cice,1.e+20
